,score,pearson,spearman,ssim,r2,rmse,kolmogorov_smirnov,jensen_shannon,run_time,percentage,maptag,approach,category
63,0.4761904761904762,0.9576290845870972,0.9573116898536682,0.9980239868164062,0.8995808959007263,0.37676066160202026,0.05966343730688095,0.029348619282245636,0.002392292022705078,2.0,75.0,knn,deterministic
64,0.35714285714285715,0.9402355551719666,0.9367611408233643,0.9978474974632263,0.8807078003883362,0.410642147064209,0.047934725880622864,0.039140645414590836,0.004549980163574219,2.0,75.0,idw,deterministic
65,0.16666666666666666,0.9040500521659851,0.8954526782035828,0.9754186868667603,0.03643607720732689,1.1670721769332886,0.505609393119812,0.05872632935643196,170.8563094139099,2.0,75.0,swr,spatial
66,1.0,0.9999527335166931,0.9999444484710693,0.9999986290931702,0.9999052286148071,0.011569999158382416,0.003682272508740425,7.391609688056633e-05,3.2514657974243164,5.0,75.0,krige,spatial
67,0.8333333333333333,0.9992596507072449,0.9991077780723572,0.9999756217002869,0.9984775185585022,0.04638023301959038,0.00710152555257082,0.0010037856409326196,0.8048584461212158,5.0,75.0,rbf,deterministic
68,0.6666666666666666,0.9895568490028381,0.9928960204124451,0.9997028708457947,0.9792149066925049,0.17136788368225098,0.01446607057005167,0.007434929721057415,0.494067907333374,5.0,75.0,regkrige,spatial
69,0.4761904761904762,0.9892204999923706,0.9882858395576477,0.9995406866073608,0.9735720157623291,0.19323502480983734,0.03577064722776413,0.009838076308369637,0.0030057430267333984,5.0,75.0,knn,deterministic
70,0.35714285714285715,0.9798256158828735,0.978695809841156,0.999411404132843,0.9579129815101624,0.24385292828083038,0.028669120743870735,0.01622242107987404,0.05798602104187012,5.0,75.0,idw,deterministic
71,0.16666666666666666,0.9480317234992981,0.9551491737365723,0.9769704341888428,0.09238170087337494,1.1324143409729004,0.4742240905761719,0.03334886208176613,168.30487298965454,5.0,75.0,swr,spatial
72,1.0,1.0,0.9999999403953552,1.0,1.0,6.372755160555243e-05,0.0005552470684051514,5.370770495005672e-09,3.7773637771606445,10.0,75.0,krige,spatial
73,0.8333333333333333,0.999963641166687,0.9999531507492065,0.9999991059303284,0.9999269843101501,0.010155705735087395,0.0030538588762283325,7.626365550095215e-05,0.8901658058166504,10.0,75.0,rbf,deterministic
74,0.5714285714285714,0.9953514933586121,0.9946558475494385,0.9998431205749512,0.9890666007995605,0.12428758293390274,0.021099388599395752,0.0048761311918497086,0.002862215042114258,10.0,75.0,knn,deterministic
75,0.5714285714285714,0.9933189153671265,0.9954046607017517,0.99983149766922,0.9865642786026001,0.13777822256088257,0.008606329560279846,0.004610379692167044,1.2111940383911133,10.0,75.0,regkrige,spatial
76,0.35714285714285715,0.9899594783782959,0.989008367061615,0.9997537732124329,0.9789292812347412,0.17253994941711426,0.020821765065193176,0.0091599952429533,0.04395627975463867,10.0,75.0,idw,deterministic
77,0.16666666666666666,0.9058868288993835,0.9238048195838928,0.9791615009307861,0.17310233414173126,1.0808758735656738,0.43114936351776123,0.05311973765492439,157.77480840682983,10.0,75.0,swr,spatial
78,1.0,1.0,1.0,1.0,1.0,1.870397500169929e-05,0.0006662225350737572,3.2145383577208975e-10,7.643269062042236,25.0,75.0,krige,spatial
79,0.8333333333333333,0.9999959468841553,0.9999932050704956,0.9999999403953552,0.9999918341636658,0.0033919084817171097,0.0026648901402950287,1.1413533684390131e-05,0.9119031429290771,25.0,75.0,rbf,deterministic
80,0.6666666666666666,0.9979677200317383,0.9977988004684448,0.9999406337738037,0.9953301548957825,0.0811997801065445,0.0139906732365489,0.0022543056402355433,0.0032007694244384766,25.0,75.0,knn,deterministic
81,0.4523809523809524,0.9973738193511963,0.9971473813056946,0.999926745891571,0.9937766790390015,0.09373787045478821,0.018321119248867035,0.002964078215882182,0.08592891693115234,25.0,75.0,idw,deterministic
82,0.38095238095238093,0.9957567453384399,0.9972385764122009,0.9999075531959534,0.9914700388908386,0.10974312573671341,0.017321785911917686,0.0030533578246831894,18.162689447402954,25.0,75.0,regkrige,spatial
83,0.16666666666666666,0.972382128238678,0.9791750907897949,0.985607922077179,0.41407379508018494,0.9095460176467896,0.32778146862983704,0.01827072724699974,173.39491939544678,25.0,75.0,swr,spatial
84,1.0,1.0,1.0,1.0,1.0,2.2404483388527296e-06,0.0004997501382604241,5.663728600696638e-12,29.11272644996643,50.0,75.0,krige,spatial
